-  Epoch: 1, train/loss: 3.941, train/accu: 0.031, memory: 0.121GB, iter: 0
-  Epoch: 1, train/loss: 2.603, train/accu: 0.351, memory: 0.123GB, iter: 50
-  Epoch: 1, train/loss: 2.290, train/accu: 0.415, memory: 0.117GB, iter: 100
-  Epoch: 1, train/loss: 2.082, train/accu: 0.457, memory: 0.098GB, iter: 150
-  Epoch: 1, train/loss: 1.956, train/accu: 0.485, memory: 0.125GB, iter: 200
-  Epoch: 1, train/loss: 1.858, train/accu: 0.506, memory: 0.119GB, iter: 250
-  Epoch: 1, train/loss: 1.779, train/accu: 0.524, memory: 0.092GB, iter: 300
-  Epoch: 2, train/loss: 2.251, train/accu: 0.344, memory: 0.111GB, iter: 0
-  Epoch: 2, train/loss: 1.262, train/accu: 0.634, memory: 0.088GB, iter: 50
-  Epoch: 2, train/loss: 1.278, train/accu: 0.629, memory: 0.109GB, iter: 100
-  Epoch: 2, train/loss: 1.268, train/accu: 0.633, memory: 0.104GB, iter: 150
-  Epoch: 2, train/loss: 1.271, train/accu: 0.631, memory: 0.102GB, iter: 200
-  Epoch: 2, train/loss: 1.269, train/accu: 0.633, memory: 0.098GB, iter: 250
-  Epoch: 2, train/loss: 1.265, train/accu: 0.635, memory: 0.129GB, iter: 300
-  Epoch: 3, train/loss: 1.511, train/accu: 0.562, memory: 0.129GB, iter: 0
-  Epoch: 3, train/loss: 1.136, train/accu: 0.677, memory: 0.139GB, iter: 50
-  Epoch: 3, train/loss: 1.146, train/accu: 0.673, memory: 0.137GB, iter: 100
-  Epoch: 3, train/loss: 1.126, train/accu: 0.678, memory: 0.137GB, iter: 150
-  Epoch: 3, train/loss: 1.104, train/accu: 0.685, memory: 0.117GB, iter: 200
-  Epoch: 3, train/loss: 1.101, train/accu: 0.685, memory: 0.090GB, iter: 250
-  Epoch: 3, train/loss: 1.093, train/accu: 0.686, memory: 0.137GB, iter: 300
-  Epoch: 4, train/loss: 0.964, train/accu: 0.719, memory: 0.088GB, iter: 0
-  Epoch: 4, train/loss: 1.015, train/accu: 0.701, memory: 0.090GB, iter: 50
-  Epoch: 4, train/loss: 0.991, train/accu: 0.703, memory: 0.090GB, iter: 100
-  Epoch: 4, train/loss: 1.025, train/accu: 0.697, memory: 0.133GB, iter: 150
-  Epoch: 4, train/loss: 1.030, train/accu: 0.699, memory: 0.084GB, iter: 200
-  Epoch: 4, train/loss: 1.030, train/accu: 0.700, memory: 0.137GB, iter: 250
-  Epoch: 4, train/loss: 1.024, train/accu: 0.701, memory: 0.098GB, iter: 300
-  Epoch: 5, train/loss: 1.019, train/accu: 0.688, memory: 0.088GB, iter: 0
-  Epoch: 5, train/loss: 0.937, train/accu: 0.713, memory: 0.131GB, iter: 50
-  Epoch: 5, train/loss: 0.953, train/accu: 0.711, memory: 0.129GB, iter: 100
-  Epoch: 5, train/loss: 0.951, train/accu: 0.710, memory: 0.098GB, iter: 150
-  Epoch: 5, train/loss: 0.956, train/accu: 0.711, memory: 0.135GB, iter: 200
-  Epoch: 5, train/loss: 0.958, train/accu: 0.713, memory: 0.164GB, iter: 250
-  Epoch: 5, train/loss: 0.972, train/accu: 0.711, memory: 0.129GB, iter: 300
-  Epoch: 6, train/loss: 0.753, train/accu: 0.812, memory: 0.111GB, iter: 0
-  Epoch: 6, train/loss: 1.005, train/accu: 0.713, memory: 0.125GB, iter: 50
-  Epoch: 6, train/loss: 0.968, train/accu: 0.713, memory: 0.109GB, iter: 100
-  Epoch: 6, train/loss: 0.980, train/accu: 0.710, memory: 0.113GB, iter: 150
-  Epoch: 6, train/loss: 0.978, train/accu: 0.713, memory: 0.119GB, iter: 200
-  Epoch: 6, train/loss: 0.977, train/accu: 0.714, memory: 0.090GB, iter: 250
-  Epoch: 6, train/loss: 0.967, train/accu: 0.716, memory: 0.090GB, iter: 300
-  Epoch: 7, train/loss: 0.837, train/accu: 0.750, memory: 0.104GB, iter: 0
-  Epoch: 7, train/loss: 0.930, train/accu: 0.729, memory: 0.105GB, iter: 50
-  Epoch: 7, train/loss: 0.912, train/accu: 0.733, memory: 0.096GB, iter: 100
-  Epoch: 7, train/loss: 0.907, train/accu: 0.737, memory: 0.125GB, iter: 150
-  Epoch: 7, train/loss: 0.914, train/accu: 0.733, memory: 0.115GB, iter: 200
-  Epoch: 7, train/loss: 0.911, train/accu: 0.733, memory: 0.098GB, iter: 250
-  Epoch: 7, train/loss: 0.909, train/accu: 0.733, memory: 0.127GB, iter: 300
-  Epoch: 8, train/loss: 0.943, train/accu: 0.781, memory: 0.115GB, iter: 0
-  Epoch: 8, train/loss: 0.916, train/accu: 0.726, memory: 0.127GB, iter: 50
-  Epoch: 8, train/loss: 0.911, train/accu: 0.735, memory: 0.127GB, iter: 100
-  Epoch: 8, train/loss: 0.910, train/accu: 0.734, memory: 0.115GB, iter: 150
-  Epoch: 8, train/loss: 0.913, train/accu: 0.734, memory: 0.090GB, iter: 200
-  Epoch: 8, train/loss: 0.907, train/accu: 0.736, memory: 0.090GB, iter: 250
-  Epoch: 8, train/loss: 0.887, train/accu: 0.740, memory: 0.125GB, iter: 300
-  Epoch: 9, train/loss: 0.749, train/accu: 0.719, memory: 0.090GB, iter: 0
-  Epoch: 9, train/loss: 0.851, train/accu: 0.757, memory: 0.092GB, iter: 50
-  Epoch: 9, train/loss: 0.853, train/accu: 0.754, memory: 0.107GB, iter: 100
-  Epoch: 9, train/loss: 0.849, train/accu: 0.755, memory: 0.105GB, iter: 150
-  Epoch: 9, train/loss: 0.857, train/accu: 0.748, memory: 0.109GB, iter: 200
-  Epoch: 9, train/loss: 0.857, train/accu: 0.748, memory: 0.125GB, iter: 250
-  Epoch: 9, train/loss: 0.848, train/accu: 0.750, memory: 0.123GB, iter: 300
-  Epoch: 10, train/loss: 0.510, train/accu: 0.875, memory: 0.119GB, iter: 0
-  Epoch: 10, train/loss: 0.846, train/accu: 0.751, memory: 0.090GB, iter: 50
-  Epoch: 10, train/loss: 0.861, train/accu: 0.749, memory: 0.109GB, iter: 100
-  Epoch: 10, train/loss: 0.859, train/accu: 0.747, memory: 0.088GB, iter: 150
-  Epoch: 10, train/loss: 0.877, train/accu: 0.741, memory: 0.088GB, iter: 200
-  Epoch: 10, train/loss: 0.883, train/accu: 0.739, memory: 0.117GB, iter: 250
-  Epoch: 10, train/loss: 0.871, train/accu: 0.744, memory: 0.088GB, iter: 300
-  Epoch: 11, train/loss: 0.977, train/accu: 0.781, memory: 0.111GB, iter: 0
-  Epoch: 11, train/loss: 0.841, train/accu: 0.757, memory: 0.100GB, iter: 50
-  Epoch: 11, train/loss: 0.858, train/accu: 0.747, memory: 0.098GB, iter: 100
-  Epoch: 11, train/loss: 0.847, train/accu: 0.750, memory: 0.098GB, iter: 150
-  Epoch: 11, train/loss: 0.842, train/accu: 0.753, memory: 0.098GB, iter: 200
-  Epoch: 11, train/loss: 0.831, train/accu: 0.756, memory: 0.098GB, iter: 250
-  Epoch: 11, train/loss: 0.828, train/accu: 0.758, memory: 0.137GB, iter: 300
-  Epoch: 12, train/loss: 1.298, train/accu: 0.656, memory: 0.129GB, iter: 0
