-  Epoch: 1, train/loss: 3.910, train/accu: 0.000, memory: 0.092GB, iter: 0
-  Epoch: 1, train/loss: 2.691, train/accu: 0.332, memory: 0.111GB, iter: 50
-  Epoch: 1, train/loss: 2.345, train/accu: 0.394, memory: 0.107GB, iter: 100
-  Epoch: 1, train/loss: 2.131, train/accu: 0.440, memory: 0.104GB, iter: 150
-  Epoch: 1, train/loss: 1.980, train/accu: 0.475, memory: 0.125GB, iter: 200
-  Epoch: 1, train/loss: 1.877, train/accu: 0.496, memory: 0.129GB, iter: 250
-  Epoch: 1, train/loss: 1.794, train/accu: 0.515, memory: 0.098GB, iter: 300
-  Epoch: 2, train/loss: 1.451, train/accu: 0.688, memory: 0.094GB, iter: 0
-  Epoch: 2, train/loss: 1.307, train/accu: 0.616, memory: 0.111GB, iter: 50
-  Epoch: 2, train/loss: 1.346, train/accu: 0.612, memory: 0.100GB, iter: 100
-  Epoch: 2, train/loss: 1.324, train/accu: 0.618, memory: 0.098GB, iter: 150
-  Epoch: 2, train/loss: 1.293, train/accu: 0.628, memory: 0.105GB, iter: 200
-  Epoch: 2, train/loss: 1.272, train/accu: 0.633, memory: 0.104GB, iter: 250
-  Epoch: 2, train/loss: 1.269, train/accu: 0.635, memory: 0.129GB, iter: 300
-  Epoch: 3, train/loss: 1.708, train/accu: 0.531, memory: 0.098GB, iter: 0
-  Epoch: 3, train/loss: 1.214, train/accu: 0.661, memory: 0.100GB, iter: 50
-  Epoch: 3, train/loss: 1.181, train/accu: 0.664, memory: 0.100GB, iter: 100
-  Epoch: 3, train/loss: 1.165, train/accu: 0.669, memory: 0.096GB, iter: 150
-  Epoch: 3, train/loss: 1.143, train/accu: 0.669, memory: 0.098GB, iter: 200
-  Epoch: 3, train/loss: 1.128, train/accu: 0.674, memory: 0.098GB, iter: 250
-  Epoch: 3, train/loss: 1.116, train/accu: 0.677, memory: 0.119GB, iter: 300
-  Epoch: 4, train/loss: 0.913, train/accu: 0.656, memory: 0.119GB, iter: 0
-  Epoch: 4, train/loss: 1.034, train/accu: 0.702, memory: 0.129GB, iter: 50
-  Epoch: 4, train/loss: 1.036, train/accu: 0.693, memory: 0.094GB, iter: 100
-  Epoch: 4, train/loss: 1.014, train/accu: 0.700, memory: 0.145GB, iter: 150
-  Epoch: 4, train/loss: 1.038, train/accu: 0.696, memory: 0.105GB, iter: 200
-  Epoch: 4, train/loss: 1.050, train/accu: 0.694, memory: 0.100GB, iter: 250
-  Epoch: 4, train/loss: 1.045, train/accu: 0.695, memory: 0.100GB, iter: 300
-  Epoch: 5, train/loss: 0.984, train/accu: 0.719, memory: 0.098GB, iter: 0
-  Epoch: 5, train/loss: 0.961, train/accu: 0.714, memory: 0.102GB, iter: 50
-  Epoch: 5, train/loss: 0.978, train/accu: 0.707, memory: 0.096GB, iter: 100
-  Epoch: 5, train/loss: 0.981, train/accu: 0.712, memory: 0.129GB, iter: 150
-  Epoch: 5, train/loss: 0.977, train/accu: 0.711, memory: 0.096GB, iter: 200
-  Epoch: 5, train/loss: 0.975, train/accu: 0.713, memory: 0.096GB, iter: 250
-  Epoch: 5, train/loss: 0.979, train/accu: 0.711, memory: 0.107GB, iter: 300
-  Epoch: 6, train/loss: 0.336, train/accu: 0.906, memory: 0.104GB, iter: 0
-  Epoch: 6, train/loss: 0.903, train/accu: 0.729, memory: 0.098GB, iter: 50
-  Epoch: 6, train/loss: 0.912, train/accu: 0.732, memory: 0.104GB, iter: 100
-  Epoch: 6, train/loss: 0.902, train/accu: 0.734, memory: 0.109GB, iter: 150
-  Epoch: 6, train/loss: 0.927, train/accu: 0.726, memory: 0.109GB, iter: 200
-  Epoch: 6, train/loss: 0.942, train/accu: 0.722, memory: 0.141GB, iter: 250
-  Epoch: 6, train/loss: 0.940, train/accu: 0.723, memory: 0.145GB, iter: 300
-  Epoch: 7, train/loss: 1.566, train/accu: 0.656, memory: 0.107GB, iter: 0
-  Epoch: 7, train/loss: 0.877, train/accu: 0.741, memory: 0.100GB, iter: 50
-  Epoch: 7, train/loss: 0.861, train/accu: 0.746, memory: 0.100GB, iter: 100
-  Epoch: 7, train/loss: 0.891, train/accu: 0.738, memory: 0.109GB, iter: 150
-  Epoch: 7, train/loss: 0.895, train/accu: 0.736, memory: 0.141GB, iter: 200
-  Epoch: 7, train/loss: 0.896, train/accu: 0.735, memory: 0.102GB, iter: 250
-  Epoch: 7, train/loss: 0.903, train/accu: 0.736, memory: 0.129GB, iter: 300
-  Epoch: 8, train/loss: 1.090, train/accu: 0.594, memory: 0.098GB, iter: 0
-  Epoch: 8, train/loss: 0.843, train/accu: 0.744, memory: 0.096GB, iter: 50
-  Epoch: 8, train/loss: 0.873, train/accu: 0.740, memory: 0.098GB, iter: 100
